uuid,Title,Author,Year of publication,english_translation,translation_sources,has_scan,scan_sources,google_books_error,internet_archive_error
ba491f1d-5133-db79-924f-c8df95241e00,"""...Niet verbleken..."" Een open boekje over een Nederlandse vrijmetselaarsloge","Dongen, Dré van",1991,False,,False,,,"New and legacy rewrite both failed with errors: [REQUEST_NOT_READY] Search request cannot be prepared, query is not valid; unknown error"
92362b2e-a62d-60b5-bef3-fe447ebb55f6,"""Alchimie & spagyrie"". Du Grand Oeuvre à la médecine de Paracelse","Rivière, Patrick",1986,False,,False,,,"New and legacy rewrite both failed with errors: [REQUEST_NOT_READY] Search request cannot be prepared, query is not valid; unknown error"
4202948f-8107-8d3b-7b36-4e5265dcdc1b,"""And Mary sings Magnifiat"" (A Christmas Thoughr)","Holmes, E.E.",1922,False,,False,,,"New and legacy rewrite both failed with errors: [REQUEST_NOT_READY] Search request cannot be prepared, query is not valid; unknown error"
4af9d51b-5f0a-e1a6-f8f1-b76088adb934,"""Clothed with the sun"" being the book of the illuminations of Anna (Bonus) Kingsford",,1906,True,Google Books:Y4Zw7EMNnw8C;Google Books:stJojdj5T3UC,True,Google Books:Y4Zw7EMNnw8C;Google Books:stJojdj5T3UC,,"New and legacy rewrite both failed with errors: [REQUEST_NOT_READY] Search request cannot be prepared, query is not valid; unknown error"
ffd809d0-af5d-4bc4-67d4-4d494a24f1c8,"""Ex occidente lux"" Sociabilidade e subjetivaç¦o em um Colégio Iniciático","Archanjo, Marcelo Vidaurre",2005,False,,False,,,"New and legacy rewrite both failed with errors: [REQUEST_NOT_READY] Search request cannot be prepared, query is not valid; unknown error"
8e173704-db7e-7ce2-706b-def7d66379e8,"""Ich bin der Weg, die Wahrheit und das Leben"". Weg und Lehre Christi 2","Benedikt, Heinrich Elia",1992,False,,False,,,"New and legacy rewrite both failed with errors: [REQUEST_NOT_READY] Search request cannot be prepared, query is not valid; unknown error"
c17395e8-2af6-b465-19db-99e3e981e73e,"""Nun was ist die Imagination anderst als ein Sonn im Menschen"". Studien zu einem Zentralbegriff des magischen Denkens","Godet, Alain",1982,False,,False,,,"New and legacy rewrite both failed with errors: [REQUEST_NOT_READY] Search request cannot be prepared, query is not valid; unknown error"
4ffc1d89-cc06-cbe2-fdb9-0a415187c5bb,"""Questa è la terra tua"". Savonarola a Firenze","Garfagnini, Gian Carlo",2000,False,,False,,,"New and legacy rewrite both failed with errors: [REQUEST_NOT_READY] Search request cannot be prepared, query is not valid; unknown error"
631894b6-5275-78a1-7783-7af8a0aa0e7f,"""Revelationes""","Dinzelbacher, Peter",1991,False,,False,,,"New and legacy rewrite both failed with errors: [REQUEST_NOT_READY] Search request cannot be prepared, query is not valid; unknown error"
804afeb9-1fe6-1e8e-4106-bee36f3e6db7,"""Siehe, ich wache auf aus dem Tode!""  Geheimlehre des ägyptischen ""Totenbuchs"" mit Übertragungen und Kommentar","Schulz, Albert Christian Georg",1922,False,,False,,,"New and legacy rewrite both failed with errors: [REQUEST_NOT_READY] Search request cannot be prepared, query is not valid; unknown error"
18e7df4e-3e03-cd4a-7020-aff559331c22,"""Sonderbare Geschichten"" zu Gustav Meyrinks Frühwerk","Abret, Helga",1979,False,,False,,,"New and legacy rewrite both failed with errors: [REQUEST_NOT_READY] Search request cannot be prepared, query is not valid; unknown error"
23bd8da2-7bee-6ff0-6ff9-343371dafa07,"""That miracle of the christian world"". Origenism and christian platonism in Henry More",,2020,False,,False,,,"New and legacy rewrite both failed with errors: [REQUEST_NOT_READY] Search request cannot be prepared, query is not valid; unknown error"
a664b111-f350-c8bd-5b42-8f9ffa6ee8a6,"""Theophrastia sancta"" . Der Paracelsismus als Religion im Streit mit den offiziellen Kirchen","Gilly, Carlos",1994,False,,False,,,"New and legacy rewrite both failed with errors: [REQUEST_NOT_READY] Search request cannot be prepared, query is not valid; unknown error"
aa44f709-90f5-f11c-a494-f56ee118ffdb,"""Timaeus."" (1794). Mit einer Beitrag von Hermann Krings: Genesis und Materie - Zur Bedeutung der ""Timaeus""-Handschrift für Schellings Naturphilosophie","Schelling, Friedrich Wilhelm Joseph von|Krings, Hermann",1994,False,,False,,,"New and legacy rewrite both failed with errors: [REQUEST_NOT_READY] Search request cannot be prepared, query is not valid; unknown error"
c0c5cb6a-0803-ba63-f12b-1705f4b07907,"""Wie Zichzelf Kent . ."" Van de Verhandeling over het Zijn (Risalat-ul-wujudiyyah)",Ibn 'Arabi,1978,False,,False,,,"New and legacy rewrite both failed with errors: [REQUEST_NOT_READY] Search request cannot be prepared, query is not valid; unknown error"
51a4c5e9-a47e-a266-b391-98dcb0627856,"""Y"" Paranormale Welt, Wirklichkeit und Literatur","Gauger, Wilhelm",1980,False,,False,,,"New and legacy rewrite both failed with errors: [REQUEST_NOT_READY] Search request cannot be prepared, query is not valid; unknown error"
de784449-8451-0580-1d60-15363e2e7067,"""Zerstõrt die Werke der Weiblichkeit!"" Maria Magdalena, Salome und andere Jüngerinnen Jesu in christlich-gnostischen Schriften","Petersen, Silke",1999,False,,True,Google Books:8iQGEAAAQBAJ;Google Books:JygwAgAAQBAJ;Google Books:WJSX7hX-di4C;Google Books:_CQGEAAAQBAJ;Google Books:i-N5DAAAQBAJ;Google Books:r284xqTce5gC;Google Books:yQoDbjz07acC,,"New and legacy rewrite both failed with errors: [REQUEST_NOT_READY] Search request cannot be prepared, query is not valid; unknown error"
e22cef40-8c3c-0e77-ceb3-8418f415021b,'...een kern van broederschap...' 100 jaar Theosofische Vereniging in Nederland 1897-1997,"Jansen, Ruud",1997,False,,False,,,
e6959785-6e13-815c-ed7a-d48311b45b11,"'A heritage collection, unequalled in the world'. An introduction to the Dutch museum of freemasonry in The Hague. Proceedings of the third international conference of the OVN, Foundation for the Advancement of Acadamic Research into the History of Freemasonry and Relatedf Currents in the Netherlands. The Hague, the Netherlands, 25th May 2023","Kroon, Andréa A.|Jacob, Margaret C.|Snoek, Jan A.M.|Cherry, Martin|Henrik, Bogdan|Warmenbol, Eugène|Prescott, Andrew|",2023,False,,False,,,
1cd72cd6-7fe2-c4b3-2fe4-51b3a26eec11,"'A Heritage Collection, unequalled in the World'. An introduction to the Dutch museum of Freemasonty in The Hague. Proceedings of the Third International Conference of the OVN, Foundation for the Advancement of Academic Research into the History of Freemasonry in the Netherlands and Related Currents in the Netherlands",,2023,False,,False,,,
d269bff2-f7e8-f3bf-51ec-1b5651664711,'Aber von dem Baum der Erkenntnis..' Sinn und Bild der Paradiesesbäume,"Karutz, Richard",1930,False,,False,,,
46b1945c-1eba-be29-843e-ef0f2a0cba86,'AOR'.  R.A. Schwaller de Lubicz Sa vie. Son oeuvre,"Schwaller de Lubicz, Isha",1963,False,,False,,,
257f4425-3a52-ab24-c47c-e4a5809b83ee,'Aureus:' The golden tractate of Hermes Trismegistus. Concerning the physical secret of the philosopher's stone in seven sections,Hermes Trismegistus,1886,True,Google Books:4kAhFV4s0sgC;Google Books:4ytIkgAACAAJ;Google Books:9SGOPwAACAAJ;Google Books:CDZBvgAACAAJ;Google Books:_qGl0AEACAAJ;Google Books:awUDAwAAQBAJ;Google Books:ncs2sJ2b_ccC;Google Books:srYwzwEACAAJ;Google Books:vlMLzQEACAAJ;Google Books:zyYHkAEACAAJ,True,Google Books:4kAhFV4s0sgC;Google Books:awUDAwAAQBAJ;Google Books:ncs2sJ2b_ccC,,
93c9b916-b843-33ac-00d8-e5439d2da8f5,"'Behold, I come quickly.' Revelation","Hall, Marie Bauer",1985,True,Google Books:l0ZtmgEACAAJ,False,,,
2d803977-deee-fa2d-f6e9-1084b32e044e,"'Come per un destino portentoso...'. Frammenti dall'esilio francese. Giunto oltralpe 'sitibondo' di libertà, fra Tommaso annuncia il fatale declino della Spagna e il trionfo della monarchia di Francia","Ernst, Germana",2001,False,,False,,,
