identifier,title,creator,year,subjects,description,language,item_url,preferred_format,download_url,text_available,translation_status,notes
CompendiumGaguin1500-1501,Compendium Roberti Gaguini super Francorum gestis ab ipso recognitum et auctum,"Gaguin, Robert, 1433-1501",1500,history; kings of France; medieval Latin; Middle Ages,Book digitized by Google and uploaded by ARLIMA (http://www.arlima.net),latin,https://archive.org/details/CompendiumGaguin1500-1501,PDF,https://archive.org/download/CompendiumGaguin1500-1501/Compendium_Roberti_Gaguini_super_Francor-1.pdf,likely,not-started,
bub_gb_GIhbRXrdNMIC,Expositio et quaestiones super totam philosophiam naturalem et methaphysicam Aristotelis,Petrus Tartaretus,1500,bub_upload,,latin,https://archive.org/details/bub_gb_GIhbRXrdNMIC,PDF,https://archive.org/download/bub_gb_GIhbRXrdNMIC/bub_gb_GIhbRXrdNMIC.pdf,likely,not-started,
ita-bnc-in2-00000172-001,"Epistolae magni Turci. Prelim: Laudivius Zacchia: Epistola ad Francinum Beltrandum. Add: Antonius Beccadelli, Panormita: De Hermaphrodito",Mahomet II,1500,,,latin,https://archive.org/details/ita-bnc-in2-00000172-001,PDF,https://archive.org/download/ita-bnc-in2-00000172-001/ita-bnc-in2-00000172-001.pdf,likely,not-started,
ita-bnc-in1-00000518-001,Proverbiorum libellus [segue:] Pollio epistula,"Vergil, Polydore",1500,,,latin,https://archive.org/details/ita-bnc-in1-00000518-001,PDF,https://archive.org/download/ita-bnc-in1-00000518-001/ita-bnc-in1-00000518-001.pdf,likely,not-started,
ita-bnc-in2-00001028-001,Postilla super Epistolas et Evangelia quadragesimalia (cum Quaestionibus Antonii de Bitonto et Alexandri de Ales),Nicolaus de Lyra,1500,,,latin,https://archive.org/details/ita-bnc-in2-00001028-001,PDF,https://archive.org/download/ita-bnc-in2-00001028-001/ita-bnc-in2-00001028-001.pdf,likely,not-started,
ita-bnc-in2-00001329-001,Compendium theologicae veritatis,"Albertus, Magnus, Saint",1500,,,latin,https://archive.org/details/ita-bnc-in2-00001329-001,PDF,https://archive.org/download/ita-bnc-in2-00001329-001/ita-bnc-in2-00001329-001.pdf,likely,not-started,
ita-bnc-in2-00001350-001,Quaestiones super libros Sententiarum Petri Lombardi.Add: Recommendatio S. Scripturae; Principium in cursum Bibliae; Quaestio in suis vesperiis; Quaestio de resumpta,"Ailly, Pierre d'",1500,,,latin,https://archive.org/details/ita-bnc-in2-00001350-001,PDF,https://archive.org/download/ita-bnc-in2-00001350-001/ita-bnc-in2-00001350-001.pdf,likely,not-started,
ita-bnc-in1-00000747-001,Romanae historiae compendium. Add: Marcus Antonius Sabellicus: Vita Pomponii,"Leto, Giulio Pomponio",1500,,,latin,https://archive.org/details/ita-bnc-in1-00000747-001,PDF,https://archive.org/download/ita-bnc-in1-00000747-001/ita-bnc-in1-00000747-001.pdf,likely,not-started,
ita-bnc-in1-00000912-001,De vita divi Ludovici Morbioli. Add: De contemnenda morte; In divum Albertum Carmelitam carmen; Contra poetas impudice loquentes. Add. Jodocus Badius Ascensius,"Baptista, Mantuanus",1500,,,latin,https://archive.org/details/ita-bnc-in1-00000912-001,PDF,https://archive.org/download/ita-bnc-in1-00000912-001/ita-bnc-in1-00000912-001.pdf,likely,not-started,
ita-bnc-in2-00002305-001,Epigrammata et elegiae. Add. Matteo Maria Boiardo: Carmen bucolicum,"Crottus, Bartholomaeus",1500,,,latin,https://archive.org/details/ita-bnc-in2-00002305-001,PDF,https://archive.org/download/ita-bnc-in2-00002305-001/ita-bnc-in2-00002305-001.pdf,likely,not-started,
ita-bnc-in2-00001745-002,Oratio proverbiorum,"Beroaldo, Filippo",1500,,,latin,https://archive.org/details/ita-bnc-in2-00001745-002,PDF,https://archive.org/download/ita-bnc-in2-00001745-002/ita-bnc-in2-00001745-002.pdf,likely,not-started,
ita-bnc-in2-00001157-001,Adolescentia,"Baptista, Mantuanus",1500,,,latin,https://archive.org/details/ita-bnc-in2-00001157-001,PDF,https://archive.org/download/ita-bnc-in2-00001157-001/ita-bnc-in2-00001157-001.pdf,likely,not-started,
ita-bnc-in1-00000912-002,In Robertum Severinatem panegyricum carmen. Add: Somnium Romanum. Epigrammata ad Falconem,"Baptista, Mantuanus",1500,,,latin,https://archive.org/details/ita-bnc-in1-00000912-002,PDF,https://archive.org/download/ita-bnc-in1-00000912-002/ita-bnc-in1-00000912-002.pdf,likely,not-started,
ita-bnc-in1-00000514-001,"Declamatio philosophi, medici, oratoris et alia opuscula","Beroaldo, Filippo",1500,,,latin,https://archive.org/details/ita-bnc-in1-00000514-001,PDF,https://archive.org/download/ita-bnc-in1-00000514-001/ita-bnc-in1-00000514-001.pdf,likely,not-started,
ita-bnc-in2-00000499-004,Oratio proverbiorum,"Beroaldo, Filippo",1500,,,latin,https://archive.org/details/ita-bnc-in2-00000499-004,PDF,https://archive.org/download/ita-bnc-in2-00000499-004/ita-bnc-in2-00000499-004.pdf,likely,not-started,
ita-bnc-in2-00002056-001,De honore mulierum,Benedictus Caesenas,1500,,,latin,https://archive.org/details/ita-bnc-in2-00002056-001,PDF,https://archive.org/download/ita-bnc-in2-00002056-001/ita-bnc-in2-00002056-001.pdf,likely,not-started,
ita-bnc-in1-00000527-001,"Polyhistor, sive De mirabilibus mundi. Ed: Philippus Beroaldus","Solinus, Gaius Julius",1500,,,latin,https://archive.org/details/ita-bnc-in1-00000527-001,PDF,https://archive.org/download/ita-bnc-in1-00000527-001/ita-bnc-in1-00000527-001.pdf,likely,not-started,
ita-bnc-in2-00000490-001,Secreta mulierum et virorum (cum expositione Henrici de Saxonia),"Albertus, Magnus, Saint",1500,,,latin,https://archive.org/details/ita-bnc-in2-00000490-001,PDF,https://archive.org/download/ita-bnc-in2-00000490-001/ita-bnc-in2-00000490-001.pdf,likely,not-started,
ita-bnc-in2-00000975-001,De secundis intentionibus,Hervaeus Natalis,1500,,,latin,https://archive.org/details/ita-bnc-in2-00000975-001,PDF,https://archive.org/download/ita-bnc-in2-00000975-001/ita-bnc-in2-00000975-001.pdf,likely,not-started,
BIUSante_06538,Practica Valesci de Tharanta : que alias Philonium dicitur. Una cum domini Joannis de tornamira introductorio. Suivi de : Summula Jacobi de Partibus alphabetum super plurimis remediis ex ipsius mesue libris exerptis...,"Valesco de Tarenta; Despars, Jacques",1500,Anatomie,Available at the Bibliothèque interuniversitaire de santé (Paris). See this resource in Medica digital library : 06538 .,latin,https://archive.org/details/BIUSante_06538,HTML,https://archive.org/download/BIUSante_06538/BIUSante_06538_hocr.html,likely,not-started,
