uuid,Title,Author,Year of publication
ba491f1d-5133-db79-924f-c8df95241e00,"""...Niet verbleken..."" Een open boekje over een Nederlandse vrijmetselaarsloge","Dongen, Dré van",1991
92362b2e-a62d-60b5-bef3-fe447ebb55f6,"""Alchimie & spagyrie"". Du Grand Oeuvre à la médecine de Paracelse","Rivière, Patrick",1986
4202948f-8107-8d3b-7b36-4e5265dcdc1b,"""And Mary sings Magnifiat"" (A Christmas Thoughr)","Holmes, E.E.",1922
4af9d51b-5f0a-e1a6-f8f1-b76088adb934,"""Clothed with the sun"" being the book of the illuminations of Anna (Bonus) Kingsford",,1906
ffd809d0-af5d-4bc4-67d4-4d494a24f1c8,"""Ex occidente lux"" Sociabilidade e subjetivaç¦o em um Colégio Iniciático","Archanjo, Marcelo Vidaurre",2005
8e173704-db7e-7ce2-706b-def7d66379e8,"""Ich bin der Weg, die Wahrheit und das Leben"". Weg und Lehre Christi 2","Benedikt, Heinrich Elia",1992
c17395e8-2af6-b465-19db-99e3e981e73e,"""Nun was ist die Imagination anderst als ein Sonn im Menschen"". Studien zu einem Zentralbegriff des magischen Denkens","Godet, Alain",1982
4ffc1d89-cc06-cbe2-fdb9-0a415187c5bb,"""Questa è la terra tua"". Savonarola a Firenze","Garfagnini, Gian Carlo",2000
631894b6-5275-78a1-7783-7af8a0aa0e7f,"""Revelationes""","Dinzelbacher, Peter",1991
804afeb9-1fe6-1e8e-4106-bee36f3e6db7,"""Siehe, ich wache auf aus dem Tode!""  Geheimlehre des ägyptischen ""Totenbuchs"" mit Übertragungen und Kommentar","Schulz, Albert Christian Georg",1922
18e7df4e-3e03-cd4a-7020-aff559331c22,"""Sonderbare Geschichten"" zu Gustav Meyrinks Frühwerk","Abret, Helga",1979
23bd8da2-7bee-6ff0-6ff9-343371dafa07,"""That miracle of the christian world"". Origenism and christian platonism in Henry More",,2020
a664b111-f350-c8bd-5b42-8f9ffa6ee8a6,"""Theophrastia sancta"" . Der Paracelsismus als Religion im Streit mit den offiziellen Kirchen","Gilly, Carlos",1994
aa44f709-90f5-f11c-a494-f56ee118ffdb,"""Timaeus."" (1794). Mit einer Beitrag von Hermann Krings: Genesis und Materie - Zur Bedeutung der ""Timaeus""-Handschrift für Schellings Naturphilosophie","Schelling, Friedrich Wilhelm Joseph von|Krings, Hermann",1994
c0c5cb6a-0803-ba63-f12b-1705f4b07907,"""Wie Zichzelf Kent . ."" Van de Verhandeling over het Zijn (Risalat-ul-wujudiyyah)",Ibn 'Arabi,1978
51a4c5e9-a47e-a266-b391-98dcb0627856,"""Y"" Paranormale Welt, Wirklichkeit und Literatur","Gauger, Wilhelm",1980
de784449-8451-0580-1d60-15363e2e7067,"""Zerstõrt die Werke der Weiblichkeit!"" Maria Magdalena, Salome und andere Jüngerinnen Jesu in christlich-gnostischen Schriften","Petersen, Silke",1999
e22cef40-8c3c-0e77-ceb3-8418f415021b,'...een kern van broederschap...' 100 jaar Theosofische Vereniging in Nederland 1897-1997,"Jansen, Ruud",1997
e6959785-6e13-815c-ed7a-d48311b45b11,"'A heritage collection, unequalled in the world'. An introduction to the Dutch museum of freemasonry in The Hague. Proceedings of the third international conference of the OVN, Foundation for the Advancement of Acadamic Research into the History of Freemasonry and Relatedf Currents in the Netherlands. The Hague, the Netherlands, 25th May 2023","Kroon, Andréa A.|Jacob, Margaret C.|Snoek, Jan A.M.|Cherry, Martin|Henrik, Bogdan|Warmenbol, Eugène|Prescott, Andrew|",2023
1cd72cd6-7fe2-c4b3-2fe4-51b3a26eec11,"'A Heritage Collection, unequalled in the World'. An introduction to the Dutch museum of Freemasonty in The Hague. Proceedings of the Third International Conference of the OVN, Foundation for the Advancement of Academic Research into the History of Freemasonry in the Netherlands and Related Currents in the Netherlands",,2023
d269bff2-f7e8-f3bf-51ec-1b5651664711,'Aber von dem Baum der Erkenntnis..' Sinn und Bild der Paradiesesbäume,"Karutz, Richard",1930
46b1945c-1eba-be29-843e-ef0f2a0cba86,'AOR'.  R.A. Schwaller de Lubicz Sa vie. Son oeuvre,"Schwaller de Lubicz, Isha",1963
257f4425-3a52-ab24-c47c-e4a5809b83ee,'Aureus:' The golden tractate of Hermes Trismegistus. Concerning the physical secret of the philosopher's stone in seven sections,Hermes Trismegistus,1886
93c9b916-b843-33ac-00d8-e5439d2da8f5,"'Behold, I come quickly.' Revelation","Hall, Marie Bauer",1985
2d803977-deee-fa2d-f6e9-1084b32e044e,"'Come per un destino portentoso...'. Frammenti dall'esilio francese. Giunto oltralpe 'sitibondo' di libertà, fra Tommaso annuncia il fatale declino della Spagna e il trionfo della monarchia di Francia","Ernst, Germana",2001
71d6e665-6c27-9f33-e986-67ef9463ed67,'Das Angesicht Gottes schauen' nach biblischer und babylonischer Auffassung,"Nötscher, Friedrich|Baudissin, Wolf Wilhelm",1969
cc4b780f-91cb-4e9a-07e8-f28434614987,"'De Godzoeker in een van positieve godsdienst vervreemde wereld'. De ontvangst van Spinoza in katholieke kringen, 1897-1997","Terpstra, Marin",2021
962b3ce1-b0f7-3f08-95b9-c4dfd013127f,'De wil van God'. Over een centraal thema in Spinoza's filosofie,"Verbeek, Theo",2000
cd43c1fd-2012-63fd-c075-c619100be5ab,'Der Sohn Gottes'. Eine Untersuchung über den Charakter und die Tendenz des Johannes-Evangeliums,"Wetter, Gillis P",1916
c4a6feba-c510-42f0-6fdf-d6facb76d2d7,'Die Mitten im Winter grünende Pfaltz'. 350 Jahre Wittelsbacher Fürstentum Pfalz Sulzbach. Aufsatzteil und Katalog zur Sonderausstellung des Stadtmuseums Sulzbach-Rosenbergs und des Staatsarchivs Amberg vom 2. Juni - 16. September 2006,,2006
dfe9fb99-4eb4-1758-f15a-6f3488d63725,'Dies Sanctificatus' vom Jahre 1439,"Cusa, Nicolaus de",1929
b9e8d7f1-095c-514a-ee49-73c259b13b83,"'Drink from this fountain'. Jacques Lefèvre d'Étaples, inspired humanist and dedicated editor","Harmsen, Theodor",2004
918e0336-44df-64fd-9008-ff8462523d19,"'Drink uit deze bron'. Jacques Lefèvre d'Étaples, geïnspireerd humanist en toegewijd tekstuitgever","Harmsen, Theodor",2004
69c7f5d6-83f4-17c6-eb5e-251e44c87700,'Du solst wissen es ist aus keinem stein gesogen'. Studien zu Jacob Böhmes Aurora oder Morgen Röte im auffgang,"Andersson, Bo",1986
0ccb8b58-3c52-db1c-32bf-91e09e78507b,'Een stille leerschool van deugd en goede zeden'. Vrijmetselarij in Nederland in de 18e en 19e eeuw,,1995
224cedf1-4777-e747-c82b-2769c22ab663,'Ex Libris'. De bibliotheek van Anna Maria Schurman en de catalogi van de Labadistenbibliotheek,"Schurman, Anna Maria van",2016
6ecddcc9-2eda-d5ef-4ad6-2c08eafbb0a9,'Flying Rolls' de l'ordre hermétique de la Golden Dawn. Gnose des Rose-Croix du XIXe siècle,,2006
9435a7c1-da4e-588b-bb3c-a15e63070a03,'Gij weet van mijn zitten'. Oosterse zen voor westerse christenen,"Luiken, M.",2000
3f96dbd0-7ba6-2026-2bc5-155618af8622,'Gott Haben' in der Antike und im frühen Christentum. Eine religions- und begriffsgeschichtliche Untersuchung,"Hanse, Hermann",1939
67a6f650-69dd-9550-56af-123e8bdf06b3,'Hadewid Greca' te Merksem in 1212. Een historische reconstructie van de biografie van Hadewijch,"Devreese, Daniel",2010
910683a3-2d80-41b1-9b80-7e1d922cd199,'Ik moet spreken'. Het spiritueel leiderschap van Antoinette Bourignon (1616-1680),"Baar, Mirjam de",2004
40467605-2ac2-0127-9f16-70c39366706b,'In de greep van het theologisch-politiek probleem'. Leo Strauss en Spinoza,"Janssens, David",2005
0f772da4-35c5-fd7a-02e7-a6ebbefe21cf,'In Gott ist alle Wollust'. Zur Mystik Friedrich Spees,"Meinke, Anja",1994
d75d60bf-b34c-2e94-9a40-dfe1979f2768,'Jullie zijn allemaal verlicht . . . tot je je mond opendoet'. Uitspraken van Shunryu Suziku verzameld door David Chadwick,"Suzuki, Shunryu",2002
ec3861d1-9293-63cb-5afa-2ccd898037e8,'Maak gebeden van mijn verhalen' Verhalen van rabbi Nachman van Bratzlaw,"Tijn, Maartje van",1989
9ded01b9-12a9-1598-d352-bf2ee811da0f,"'No religion higher than truth': A history of the theosophical movement in Russia, 1875-1922","Carlson, Maria",1993
8650e92e-dc81-84ed-ee36-b00f95523894,'Over de macht van het verstand' De rol van de remedies in het vijfde deel van Spinoza's Ethica,"Bartels, Jeroen",2019
be5db90b-b8db-ef56-33f5-a53c18f7f60d,"'s Levens felheid. De Meester van het Amsterdamse Kabinet of de Hausbuch-meester, ca. 1470-1500","Boon, K.G|Filedt Kok, J.P|Haga, M.D|Hutchison, Jane C|Madou, M.J.H|Moxey, Keith P.F|Moraw, Peter",1985
458bc5da-63a6-fb1f-d2f0-bf9b9b959667,'Spirits' of various kinds,"Blavatsky, H.P",1915
ed924355-7df2-5a9b-3bde-4a0576cb5f24,'t Nieuwe Jerusalem,"Teellinck, Willem",1651
cca54902-923d-1f15-23c8-e9d5d73b435e,"'Tao Teh King van Lao Tse in het Hollandsch overgebracht'. Nederlandse vertalingen van de Laozi uit de verzamelingvan J.P. Gumbert, Lopik",,2002
7f4d963c-bf1e-4b88-1714-e862c5c3c7ce,'tgasthuys-boec,"Paracelsus, Theophrastus",1629
fa07d544-71ce-03c0-1f32-7859e739d015,'The teachings of Silvanus' and Clement of Alexandria. A new document of Alexandrian theology,"Zandee, J.",1977
2dff125d-f552-d1b8-6fbd-3a684e42fa3c,'Tussen Spinoza en Kant moet de strijd gestreden worden'. De tegenpolen van het moderne denken,"Krop, Henri",2018
3a65bee7-ec08-56e1-5711-44417213015a,'Verslonden door zijn liefde'. Een onbekende brief van Anna Maria van Schurman aan Petrus Montanus (1669),"Schurman, Anna Maria van",2015
d9b61f28-e7db-ac39-d661-09e4438cbdaf,(Oculus fidei) Theologia naturalis,"Sabunde, Raimundus de",1661
127e977a-28fb-71e3-95a8-df91f761010b,... en de twee zullen één zijn. Over het samengaan van het vrouwelijke en het mannelijke,"Slavenburg, Jacob",1998
aa899cb3-6edf-c805-bf32-ce4e374a3713,... und die Spree führt Gold. Leonard Thurneysser zum Thurn. Astrologe - Alchimist - Arzt und Drucker im Berlin des 16. Jahrhunderts,"Spitzer, Gabriele",1996
0f0a9791-ac9e-eb14-2c9c-38da556fb241,"... voilà comment Dieu guérit. La médecine de sainte Hildegarde de Bingen, nouvelle méthode de guérison par la nature","Hertzka, Gottfried",1987
8c5c5463-ffa0-1d4e-657e-599f84cbd151,100 Jahre 'Theosophische Gesellschaft'. Ein geschichtlicher Überblick,"Fischer, H.R.",1973
aee127c9-931e-568c-229c-17df76c50a8a,100 woorden over de Ethica van Spinoza,"Misrahi, Robert",2007
f03ef17d-de3a-8495-1e77-2d7b6591b00e,12 Grund-Säulen der Natur und Kunst,"Erbinaeus von Brandau, Matthaeus",1689
e15ea2b2-d2d3-e5d2-48b3-213eeea95037,"12 Predicatien, tegens de boose werelt","Fabricius, Adolphus",1662
